ID,SMILES,Name
161,NC(Cc1cccc(Cl)c1)C(=O)O,EN300-101573
162,COc1ccc(Br)cc1C(N)C(=O)O,EN300-102574
163,Nc1ccc(OC(F)F)c(C(=O)O)c1,EN300-73215
164,N[C@@H](CC(=O)O)c1ccc(Br)cc1,EN300-67205
165,Cc1nnnn1-c1cc(N)ccc1C(=O)O,EN300-84543
166,NCc1cc(C(=O)O)no1,EN300-61908
167,CC(N)CCC(=O)O,EN300-81918
168,NCC(Cc1ccc(-c2ccccc2)cc1)C(=O)O,EN300-79353
169,CC(C)c1ccc(C(N)CC(=O)O)cc1,EN300-90490
170,NC(Cc1c[nH]c2ncccc12)C(=O)O,EN300-107920
171,Cc1nc(N)nc(C)c1C(=O)O,EN300-108587
172,COCCCC(N)C(=O)O,EN300-109070
173,CC(C)=CCSCC(N)C(=O)O,EN300-83768
174,N[C@@H](C(=O)O)c1ccc(O)cc1,EN300-105272
175,Nc1ccc(C(=O)O)c(C(F)(F)F)c1,EN300-105577
176,Nc1cnc(Cl)c(C(=O)O)c1,EN300-106551
177,COc1cccc(C(N)C(=O)O)c1,EN300-70701
178,CC(CCN)CC(=O)O,EN300-111947
179,NCCSCC(=O)O,EN300-103254
180,NC(Cc1csc(-c2ccccc2Cl)n1)C(=O)O,EN300-100600
181,CCc1nc(N)sc1C(=O)O,EN300-115407
182,Nc1c(Cl)cccc1C(=O)O,EN300-23804
183,Nc1ccc(N2CCSCC2)c(C(=O)O)c1,EN300-61344
184,NC(CC1CCCCO1)C(=O)O,EN300-114945
185,N[C@H](C(=O)O)c1ccccc1,EN300-60938
186,Nc1ccccc1CC(=O)O,EN300-64160
187,COc1ccc2c(c1)CCCC2(N)C(=O)O,EN300-74329
188,Cn1cc(CC(N)C(=O)O)cn1,EN300-75690
189,N[C@H](CC(=O)O)c1ccccc1,EN300-70588
190,CC(C)(N)CCC(=O)O,EN300-56871
191,N[C@@H](CC(=O)O)c1ccccc1,EN300-68310
192,Cc1nonc1CC(N)C(=O)O,EN300-54692
193,Nc1c(I)cccc1C(=O)O,EN300-52875
194,N#Cc1cc(C(=O)Nc2ccccc2)c(N)nc1SCC(=O)O,EN300-12709
195,Nc1nc2ccc(C(=O)O)cc2s1,EN300-35251
196,Nc1cc2c(cc1C(=O)O)OCCO2,EN300-12569
197,Nc1c(C(=O)O)ccc(Cl)c1Cl,EN300-43989
198,Nc1cc(C(=O)O)cs1,EN300-114866
199,Nc1c(C(=O)O)ccc2cccnc12,EN300-69168
200,Nc1ncc(Br)cc1C(=O)O,EN300-113866
201,Nc1c(C(=O)NCC(=O)O)cnn1-c1ccccc1,EN300-26155
202,Cc1cc(C)c2c(N)c(C(=O)[O-])sc2n1,EN300-26372
203,NC(C(=O)O)C(O)C(F)(F)F,EN300-27805
204,CC(C)[C@@H](N)C(=O)O,EN300-54608
205,Nc1cc(F)c([N+](=O)[O-])cc1C(=O)O,EN300-65911
206,Nc1ccc(C(=O)O)c(F)c1,EN300-101502
207,CCCCCCC(C)(N)C(=O)O,EN300-71335
208,Nc1cc([N+](=O)[O-])ccc1C(=O)O,EN300-17254
209,Nc1cc(C(=O)O)cc([N+](=O)[O-])c1,EN300-77888
210,N[C@H](Cc1cccs1)C(=O)O,EN300-77292
211,CC(N)(C(=O)O)C1CC1,EN300-82618
212,Nc1c(C(=O)O)ccnc1Cl,EN300-114788
213,COc1cc(C(=O)O)c(N)cc1OC(F)F,EN300-40922
214,N[C@H]1C[C@@H](C(=O)O)C1,EN300-36999
215,Nc1cc(F)c(Oc2ccc(F)cc2)cc1C(=O)O,EN300-83843
216,Nc1ncc(C(=O)O)cc1Cl,EN300-60072
217,Nc1ccc(-n2ccc(C(=O)O)n2)cc1,EN300-54439
218,Nc1ccn(Cc2ccc(C(=O)O)cc2)n1,EN300-92774
219,NC1C=CC(C(=O)O)C1,EN300-100170
220,NC(Cc1cc(Cl)cc(Cl)c1)C(=O)O,EN300-107684
221,NC(CSCCc1ccccc1)C(=O)O,EN300-100275
222,Nc1nc(CCCC(=O)O)cs1,EN300-104508
223,Nc1cc(C(=O)O)ccc1OCC(F)F,EN300-92426
224,Nc1ncn(Cc2cccc(C(=O)O)c2)n1,EN300-92696
226,Cc1nn(Cc2ccc(C(=O)O)cc2)c(C)c1N,EN300-92666
227,COc1cc(N)c(C(=O)O)cc1S(C)(=O)=O,EN300-89685
228,Nc1nc2c(cc1C(=O)O)CCC2,EN300-84860
229,NCC(CC1CCCC1)C(=O)O,EN300-78537
230,CC(C)(N)C(=O)NC(C(=O)O)c1ccccc1,EN300-81726
231,NC(C(=O)O)c1cccc(Cl)c1,EN300-122864
232,NC1(CC(=O)O)CC1,EN300-125030
233,NCc1ccc(C(=O)O)c(C2CC2)n1,EN300-126662
234,N[C@@H](Cc1ccccc1[N+](=O)[O-])C(=O)O,EN300-106342
235,Nc1ccc(N2CCc3ccccc32)cc1C(=O)O,EN300-121008
236,CCOc1ccccc1C(N)(C(=O)O)C(F)(F)F,EN300-124732
237,Nc1ccc(C(=O)O)nc1Cl,EN300-125122
238,CC1(C(=O)O)CCCC1N,EN300-120751
